####################################################################
# The columns in the output are:
# seconds latitude longitude heartRate elevation distance speed smooth
####################################################################
1980 60.804978 24.781322 157 85.0 2.75887097190192 9.93193549884691 10.1293274646442
1981 60.80501 24.781363 157 85.4 4.19641338839952 15.1070881982383 10.1293274646442
1982 60.805023 24.781395 157 85.4 2.25899757140607 8.13239125706185 10.1293274646442
1983 60.805048 24.781433 157 85.4 3.46094758002434 12.4594112880876 10.1293274646442
1984 60.805075 24.781467 157 85.4 3.52375811344862 12.685529208415 10.1293274646442
1985 60.8051 24.781507 157 85.4 3.52663670625555 12.69589214252 9.67688399036055
1986 60.805132 24.781552 158 85.4 4.31532714831255 15.5351777339252 9.67688399036055
1987 60.805158 24.7816 157 85.4 3.89092958612971 14.007346510067 9.67688399036055
1988 60.805183 24.781633 156 85.4 3.30659314250641 11.9037353130231 9.67688399036055
1989 60.805215 24.781675 156 85.4 4.22540454606965 15.2114563658507 9.67688399036055
1990 60.80526 24.781723 156 85.4 5.6411081900701 20.3079894842524 11.3315431845732
1991 60.805285 24.781757 156 85.6 3.33626731975657 12.0105623511236 11.3315431845732
1992 60.805318 24.781783 156 85.6 3.93147681853478 14.1533165467252 11.3315431845732
1993 60.805357 24.78181 155 85.2 4.57765318925193 16.4795514813069 11.3315431845732
1994 60.805395 24.781837 156 85.2 4.47243337362026 16.1007601450329 11.3315431845732
1995 60.805433 24.781862 155 85.2 4.43809043504316 15.9771255661554 11.7488381048377
1996 60.805465 24.78188 155 85.2 3.69011261628493 13.2844054186257 11.7488381048377
1997 60.805503 24.78189 154 85.2 4.2605036092209 15.3378129931953 11.7488381048377
1998 60.805542 24.781898 155 85.6 4.35869341550813 15.6912962958293 11.7488381048377
1999 60.80558 24.781908 155 85.8 4.26050344313767 15.3378123952956 11.7488381048377
2000 60.805618 24.781917 156 85.8 4.25393748789715 15.3141749564297 11.9302654205892
2001 60.80565 24.781917 156 85.8 3.55859509456471 12.810942340433 11.9302654205892
2002 60.805688 24.781912 156 85.8 4.23452617541837 15.2442942315061 11.9302654205892
2003 60.805727 24.781905 156 86.0 4.35362734633704 15.6730584468133 11.9302654205892
2004 60.805765 24.781903 155 86.0 4.22722399236483 15.2180063725134 11.9302654205892
2005 60.805798 24.781903 154 86.0 3.66980119317098 13.2112842954155 11.7892602782532
2006 60.80583 24.7819 154 86.0 3.56231383926542 12.8243298213555 11.7892602782532
2007 60.805875 24.781895 155 85.8 5.01161845383173 18.0418264337942 11.7892602782532
2008 60.805913 24.781883 155 85.8 4.27566892040052 15.3924081134419 11.7892602782532
2009 60.805963 24.78187 156 85.8 5.60484053447971 20.1774259241269 11.7892602782532
2010 60.805997 24.78186 156 85.4 3.8197178756571 13.7509843523656 13.2871980585437
2011 60.80604 24.78185 156 85.4 4.81252881014916 17.325103716537 13.2871980585437
2012 60.806092 24.781842 156 85.4 5.79897590200763 20.8763132472275 13.2871980585437
2013 60.806143 24.781835 155 85.0 5.68420680636043 20.4631445028975 13.2871980585437
2014 60.806175 24.781835 155 85.0 3.5585950959795 12.8109423455262 13.2871980585437
2015 60.806213 24.781835 155 84.8 4.22583167629881 15.2129940346757 14.2951007624376
2016 60.806252 24.781837 155 84.6 4.33839435785134 15.6182196882648 14.2951007624376
2017 60.80629 24.781837 154 84.6 4.22583167629881 15.2129940346757 14.2951007624376
2018 60.806328 24.781838 154 84.6 4.22617978713685 15.2142472336927 14.2951007624376
2019 60.806367 24.781838 153 84.4 4.33703777349029 15.613335984565 14.2951007624376
2020 60.806405 24.781837 153 84.4 4.22617978404766 15.2142472225716 12.3317593882396
2021 60.806443 24.781838 152 84.2 4.22617978322128 15.2142472195966 12.3317593882396
2022 60.806482 24.78184 152 84.2 4.33839433836167 15.618219618102 12.3317593882396
2023 60.80652 24.781837 151 84.0 4.22896359197536 15.2242689311113 12.3317593882396
2024 60.80656 24.781838 151 83.8 4.44857456977479 16.0148684511892 12.3317593882396
2025 60.806598 24.781842 151 83.8 4.23139789804794 15.2330324329726 12.4143208439998
2026 60.806642 24.781848 151 84.0 4.90387958659716 17.6539665117498 12.4143208439998
2027 60.80668 24.78185 150 84.0 4.2272239113762 15.2180060809543 12.4143208439998
